Team,Tier,Game W,Game L,Game T,Assault W,Assault L,Assault T,HANAMURA W,HANAMURA L,HANAMURA T,HORIZON W,HORIZON L,HORIZON T,PARIS W,PARIS L,PARIS T,TEMPLE W,TEMPLE L,TEMPLE T,VOLSKAYA W,VOLSKAYA L,VOLSKAYA T,Control W,Control L,Control T,BUSAN W,BUSAN L,BUSAN T,ILIOS W,ILIOS L,ILIOS T,LIJIANG W,LIJIANG L,LIJIANG T,NEPAL W,NEPAL L,NEPAL T,OASIS W,OASIS L,OASIS T,Escort W,Escort L,Escort T,DORADO W,DORADO L,DORADO T,HAVANA W,HAVANA L,HAVANA T,JUNKERTOWN W,JUNKERTOWN L,JUNKERTOWN T,RIALTO W,RIALTO L,RIALTO T,ROUTE 66 W,ROUTE 66 L,ROUTE 66 T,WATCHPOINT GIB W,WATCHPOINT GIB L,WATCHPOINT GIB T,Hybrid W,Hybrid L,Hybrid T,BLIZZARD WORLD W,BLIZZARD WORLD L,BLIZZARD WORLD T,EICHENWALDE W,EICHENWALDE L,EICHENWALDE T,HOLLYWOOD W,HOLLYWOOD L,HOLLYWOOD T,KINGS ROW W,KINGS ROW L,KINGS ROW T,NUMBANI W,NUMBANI L,NUMBANI T,Map W,Map L,Map T,Assault M S,Control M S,Escort M S,Hybrid M S
UNKOMMITTED,T,6,2,0,3,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,4,0,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,2,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,11,11,0,12,7,7,11
SECOND CHANCE,T,7,1,0,6,2,0,2,1,0,0,0,0,1,0,0,1,0,0,2,1,0,7,2,0,1,0,0,0,0,0,6,1,0,0,0,0,0,1,0,8,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,0,5,3,0,0,1,0,0,0,0,0,2,0,4,0,0,1,0,0,26,7,0,13,16,22,17
POISONOUS,T,4,4,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,3,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,14,6,1,10,8,11,15
ORBIT,T,3,4,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,5,12,0,9,4,8,8
REBELLION,T,5,1,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,3,3,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,5,1,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,19,5,0,15,11,15,12
ANIMUS,T,0,7,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,17,0,6,2,2,14
CORVIDITY,T,3,4,0,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,16,1,10,1,9,10
LYNX ESPORTS,T,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,1
VOLUME 51,T,4,4,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,3,4,0,0,1,0,0,1,0,1,2,0,1,0,0,1,0,0,1,5,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,7,18,0,14,7,6,6
MAXIMIZE,T,0,8,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,6,0,3,2,3,1
VENOMOUS,T,1,6,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,4,13,0,10,6,8,6
UNGENTLEMEN,T,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRAP IT UP ,T,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MODIFY,H,6,2,0,5,2,0,2,1,0,0,0,0,0,1,0,0,0,0,3,0,0,5,4,0,2,2,0,0,0,0,3,2,0,0,0,0,0,0,0,5,2,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,5,2,0,0,0,0,1,1,0,1,0,0,2,0,0,1,1,0,20,10,0,13,11,18,16
KARMA,H,2,6,0,2,4,1,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,3,5,0,0,2,0,0,1,0,1,1,0,2,1,0,0,0,0,3,4,0,0,1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,1,0,0,2,0,1,2,0,0,0,0,10,18,1,7,8,12,16
FIGHTING POTATOES,H,3,5,0,2,6,0,2,2,0,0,0,0,0,1,0,0,1,0,0,2,0,5,5,0,1,2,0,0,0,0,4,2,0,0,1,0,0,0,0,6,2,0,0,0,0,3,0,0,1,1,0,0,1,0,1,0,0,1,0,0,4,2,2,0,0,0,1,0,0,2,0,2,1,1,0,0,1,0,17,15,2,11,11,20,16
COMETS,H,4,4,0,3,5,0,3,1,0,0,0,0,0,0,0,0,1,0,0,3,0,6,3,0,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0,3,5,0,0,0,0,3,1,0,0,1,0,0,2,0,0,1,0,0,0,0,4,4,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,16,17,0,8,12,17,15
GET OFF MY LAN,H,4,4,0,4,4,0,1,2,0,0,0,0,1,1,0,0,0,0,2,1,0,2,7,0,2,2,0,0,1,0,0,3,0,0,1,0,0,0,0,2,6,0,0,1,0,1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,2,5,1,0,1,0,0,1,0,1,1,1,1,2,0,0,0,0,10,22,1,14,6,10,12
DDOS,H,2,6,0,0,8,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,3,7,0,0,2,0,1,0,0,1,3,0,1,2,0,0,0,0,2,6,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,2,0,4,4,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,9,25,0,6,9,8,17
SPACE INVADERS,H,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,7,0,2,4,3,4
JETPACK CATS,H,4,4,0,5,3,0,1,0,0,1,1,0,1,0,0,0,0,0,2,2,0,8,4,0,3,1,0,0,1,0,5,2,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,3,2,1,0,0,0,0,0,1,0,1,1,2,1,0,1,0,21,13,2,19,17,20,20
FLASHBACKS,H,6,2,0,4,4,0,1,3,0,0,0,0,0,0,0,1,0,0,2,1,0,5,3,0,2,3,0,0,0,0,1,0,0,2,0,0,0,0,0,5,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,1,0,2,4,2,0,0,0,0,0,0,0,1,0,0,3,2,2,0,0,16,14,2,20,12,23,22
BORK!,H,4,5,0,4,4,1,2,2,0,0,0,0,0,0,0,1,0,1,1,2,0,3,9,0,2,2,0,0,0,0,1,5,0,0,2,0,0,0,0,5,4,0,0,0,0,1,1,0,0,1,0,2,0,0,2,0,0,0,2,0,3,6,0,0,0,0,0,1,0,2,2,0,1,2,0,0,1,0,15,23,1,18,9,13,19
BOOP!,H,6,1,0,6,1,0,2,0,0,0,0,0,1,0,0,1,0,0,2,1,0,8,1,0,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,4,0,0,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,4,3,0,0,1,0,0,0,0,0,2,0,3,0,0,1,0,0,21,9,0,16,17,11,21
HOLY JALAPENOS,H,5,3,0,6,2,0,3,1,0,1,0,0,0,0,0,0,0,0,2,1,0,5,5,0,1,2,0,0,0,0,2,3,0,2,0,0,0,0,0,6,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,3,0,0,7,0,1,1,0,0,1,0,0,2,0,0,2,0,1,1,0,0,24,9,1,17,14,11,27
PARADISE,H,2,4,0,5,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,3,0,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,2,4,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0,13,12,0,12,10,7,10
