Team,Tier,Game W,Game L,Game T,Assault W,Assault L,Assault T,HANAMURA W,HANAMURA L,HANAMURA T,HORIZON W,HORIZON L,HORIZON T,PARIS W,PARIS L,PARIS T,TEMPLE W,TEMPLE L,TEMPLE T,VOLSKAYA W,VOLSKAYA L,VOLSKAYA T,Control W,Control L,Control T,BUSAN W,BUSAN L,BUSAN T,ILIOS W,ILIOS L,ILIOS T,LIJIANG W,LIJIANG L,LIJIANG T,NEPAL W,NEPAL L,NEPAL T,OASIS W,OASIS L,OASIS T,Escort W,Escort L,Escort T,DORADO W,DORADO L,DORADO T,HAVANA W,HAVANA L,HAVANA T,JUNKERTOWN W,JUNKERTOWN L,JUNKERTOWN T,RIALTO W,RIALTO L,RIALTO T,ROUTE 66 W,ROUTE 66 L,ROUTE 66 T,WATCHPOINT GIB W,WATCHPOINT GIB L,WATCHPOINT GIB T,Hybrid W,Hybrid L,Hybrid T,BLIZZARD WORLD W,BLIZZARD WORLD L,BLIZZARD WORLD T,EICHENWALDE W,EICHENWALDE L,EICHENWALDE T,HOLLYWOOD W,HOLLYWOOD L,HOLLYWOOD T,KINGS ROW W,KINGS ROW L,KINGS ROW T,NUMBANI W,NUMBANI L,NUMBANI T,Map W,Map L,Map T,Assault M S,Control M S,Escort M S,Hybrid M S
Jetpack Cats,H,5,3,0,5,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,2,0,5,2,0,1,1,0,0,0,0,3,1,0,1,0,0,0,0,0,6,1,0,3,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,5,1,1,0,0,0,1,1,0,1,0,0,2,0,1,1,0,0,21,6,1,14,10,20,21
Maelstrom,H,4,4,0,2,4,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,0,0,3,4,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,11,16,1,10,9,9,12
Modify,H,7,1,0,7,1,0,3,0,0,0,0,0,0,0,0,1,0,0,3,1,0,7,2,0,0,1,0,3,0,0,2,0,0,0,1,0,2,0,0,8,0,0,1,0,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,7,0,1,0,0,0,2,0,0,1,0,1,2,0,0,2,0,0,29,3,1,16,16,17,21
Nocturnal,H,5,3,0,4,3,1,2,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,7,0,0,1,0,0,0,0,1,4,0,0,2,0,0,0,0,2,6,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,3,5,0,0,1,0,0,1,0,0,2,0,3,1,0,0,0,0,10,21,1,10,4,8,13
Nucular,H,2,6,0,3,4,1,3,2,1,0,0,0,0,0,0,0,1,0,0,1,0,3,5,0,2,0,0,0,0,0,1,4,0,0,1,0,0,0,0,3,5,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,2,6,0,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,11,20,1,10,6,15,19
Pantheon,H,4,4,0,3,5,0,2,3,0,0,0,0,0,0,0,1,2,0,0,0,0,5,3,0,1,1,0,3,2,0,1,0,0,0,0,0,0,0,0,4,4,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,5,3,0,1,0,0,0,2,0,0,0,0,3,1,0,1,0,0,17,15,0,10,12,20,25
Paradise,H,3,5,0,2,5,1,0,2,0,0,0,0,0,0,0,1,0,1,1,3,0,5,5,0,0,0,0,0,1,0,3,1,0,1,2,0,1,1,0,2,5,0,0,2,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,5,1,0,0,0,0,2,0,0,0,0,1,3,1,0,0,0,10,20,2,11,11,12,12
Phantasmal,H,2,6,0,2,4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,6,0,0,1,0,1,2,0,1,2,0,0,0,0,0,1,0,3,4,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,3,4,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,10,18,1,16,4,8,18
Royals,H,7,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,5,2,0,2,0,0,1,0,0,1,2,0,1,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,17,8,0,18,11,9,14
Slipstream,H,4,4,0,3,1,3,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,5,5,0,1,0,0,1,1,0,3,1,0,0,1,0,0,2,0,2,5,0,0,1,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,3,4,0,1,0,0,1,0,0,1,0,0,0,3,0,0,1,0,13,15,3,14,11,10,17
Miami Yikes,H,3,5,0,2,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,0,1,1,0,0,1,0,1,2,0,0,1,0,1,1,0,3,4,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,3,0,0,0,0,2,0,0,1,2,0,1,0,0,0,1,0,12,17,1,14,9,16,17
Ultraviolet,H,4,4,0,4,4,0,2,2,0,0,0,0,0,0,0,0,1,0,2,1,0,6,4,0,2,0,0,0,1,0,2,2,0,1,0,0,1,1,0,4,4,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,4,4,0,2,0,0,1,0,0,0,0,0,1,3,0,0,1,0,18,16,0,11,13,13,21
Venom Cheese,H,3,5,0,3,5,0,1,1,0,0,0,0,0,0,0,0,2,0,2,2,0,3,6,0,1,2,0,0,0,0,0,3,0,0,0,0,2,1,0,4,4,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,1,1,0,3,5,0,0,1,0,1,0,0,1,0,0,0,4,0,1,0,0,13,20,0,11,7,12,12
Void,H,5,3,0,3,5,0,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,8,2,0,1,0,0,0,0,0,3,1,0,1,1,0,3,0,0,5,3,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,4,4,0,0,0,0,3,0,0,0,1,0,1,3,0,0,0,0,20,14,0,10,17,18,23
Rebirth,H,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korage,H,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,1,4,2,5,5
D2QTs,H,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10,2,1,6,6,7,7
